App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
BU School of Public Health,TRAVEL_AND_LOCAL,NaN,0,29,10+,Free,0,Everyone,Travel & Local,20-May-18,1.4,4.4 and up
Educational Children's Songs,PARENTING,NaN,163,59,"100,000+",Free,0,Everyone,Parenting,5-Aug-18,1.2,4.0.3 and up
DRAGON BALL LEGENDS,GAME,4.6,337752,48,"5,000,000+",Free,0,Teen,Action,3-Aug-18,1.11.0,6.0 and up
SCI-FI UI,FAMILY,4.7,15,3.9,100+,Paid,$1.99,Everyone,Entertainment,16-Apr-18,0.0.53,1.6 and up
"Ideal Weight, BMI Calculator",HEALTH_AND_FITNESS,4.2,112384,5,"5,000,000+",Free,0,Everyone,Health & Fitness,23-Feb-18,2.1.0,4.1 and up
Webmail web mobile app,TOOLS,2.3,395,2.6,"100,000+",Free,0,Everyone,Tools,5-Aug-18,4.2,4.1 and up
Dr Driving Racer,GAME,4.3,183,68,"10,000+",Free,0,Everyone,Racing,14-Jun-18,2.1,4.1 and up
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14,"10,000,000+",Free,0,Everyone,Business,11-Jul-18,3.9.2,4.1 and up
BringGo AU & NZ,MAPS_AND_NAVIGATION,2.8,440,23,"10,000+",Paid,$0.99,Everyone,Maps & Navigation,10-May-18,2.5.9,2.3.3 and up
DH News,NEWS_AND_MAGAZINES,2.5,81,6.7,"10,000+",Free,0,Mature 17+,News & Magazines,27-Nov-17,3.4.5,4.0.3 and up
BELONG Beating Cancer Together,MEDICAL,4.7,623,20,"50,000+",Free,0,Teen,Medical,29-Jul-18,4.0.5,4.3 and up
Cardi B HD Wallpapers Lock Screen,PERSONALIZATION,4.5,2,10,500+,Free,0,Mature 17+,Personalization,10-Jun-18,1.3,4.0.3 and up
Best Buy,SHOPPING,4.4,186116,34,"5,000,000+",Free,0,Everyone,Shopping,3-Aug-18,11.6.0,4.4 and up
Granny,GAME,4.5,1137267,59,"50,000,000+",Free,0,Teen,Arcade,29-May-18,1.4.0.1,4.0 and up
AE Blackjack,GAME,4,1417,17,"100,000+",Free,0,Teen,Card,27-Nov-15,1.3.1,2.3 and up
AE Jewels,GAME,4.2,960,18,"50,000+",Free,0,Everyone,Action,20-Aug-15,1.0.5,3.0 and up
Q Quiz SK,FAMILY,3.9,159,39,"5,000+",Free,0,Everyone,Education,8-Dec-15,2.3,2.3 and up
Might & Magic: Elemental Guardians,GAME,4.3,32551,35,"500,000+",Free,0,Mature 17+,Role Playing,12-Jul-18,1.93,4.4 and up
Plants vs. Zombies FREE,GAME,4.4,4066980,69,"100,000,000+",Free,0,Everyone 10+,Strategy,6-Jul-18,2.2.00,4.1 and up
Poshmark - Buy & Sell Fashion,SHOPPING,4.3,46153,17,"10,000,000+",Free,0,Everyone,Shopping,4-Aug-18,2.124.01,4.4 and up
Dungeon Boss – Strategy RPG,FAMILY,4.4,218881,37,"5,000,000+",Free,0,Everyone 10+,Role Playing,28-Mar-18,0.5.10011,4.0.3 and up
Moto Suggestions ™,TOOLS,4.6,308,4.3,"1,000,000+",Free,0,Everyone,Tools,8-Jun-18,0.2.32,8.0 and up
Soldiers of Glory: Modern War,FAMILY,4.2,64815,23,"5,000,000+",Free,0,Teen,Strategy,1-Jun-18,1.7.5,2.3 and up
FR Calculator,FAMILY,4,7,2.6,500+,Free,0,Everyone,Education,18-Jun-17,1.0.0,4.1 and up
Puppy Shooting an AK-47: Platformer Zombie Game,GAME,4.8,21,89,"1,000+",Free,0,Everyone,Arcade,30-Mar-18,0.46.91,4.4 and up
MegaNDS (NDS Emulator),GAME,3.4,2218,11,"500,000+",Free,0,Everyone,Arcade,18-Oct-17,2,4.0 and up
Pink Water Sakura Keyboard Theme,LIBRARIES_AND_DEMO,4.3,1465,7,"100,000+",Free,0,Everyone,Libraries & Demo,9-Jul-18,6.7.5,4.0.3 and up
Basket Manager 2016 Free,SPORTS,4.3,1879,4.4,"100,000+",Free,0,Everyone,Sports,9-Feb-17,2.9,4.1 and up
Penn State Health OnDemand,MEDICAL,NaN,0,40,50+,Free,0,Everyone,Medical,24-Jul-18,10.4.1.018_06,4.0.3 and up
Van Nien 2018 - Lich Van su & Lich Am,LIFESTYLE,4.4,3829,23,"1,000,000+",Free,0,Everyone,Lifestyle,1-Jun-18,3.9.3,4.1 and up
México City D.F News,NEWS_AND_MAGAZINES,NaN,2,5.7,100+,Free,0,Everyone,News & Magazines,9-May-16,1.1,4.0.3 and up
Mom Doctor ER Emergency Family Game,FAMILY,3.5,173,49,"10,000+",Free,0,Everyone,Educational,26-Jan-18,1.0.0,4.1 and up
Offroad Pickup Truck S,FAMILY,4.2,5178,20,"1,000,000+",Free,0,Everyone,Simulation,10-Oct-17,1.7,2.3 and up
Can Knockdown 3,GAME,4.1,349503,19,"10,000,000+",Free,0,Everyone,Arcade,26-Aug-15,1.31,4.0 and up
Navy Federal Credit Union,FINANCE,4.4,43313,40,"1,000,000+",Free,0,Everyone,Finance,9-Jul-18,5.16.2,4.1 and up
Identity V,GAME,4.2,109263,38,"1,000,000+",Free,0,Teen,Action,10-Jul-18,1.0.144431,4.1 and up
"CM Launcher 3D - Theme, Wallpapers, Efficient",PERSONALIZATION,4.6,6702776,17,"100,000,000+",Free,0,Teen,Personalization,3-Aug-18,5.41.0,4.0.3 and up
US DV Lottery 2020 Apply,TRAVEL_AND_LOCAL,4.6,41,2,"10,000+",Free,0,Everyone,Travel & Local,14-Jan-18,1.02,4.0 and up
Quran for All (Al-Huda Int.),FAMILY,4.8,6696,5.3,"100,000+",Free,0,Everyone,Education,7-Feb-18,3.1.0,4.0 and up
du View,FAMILY,3.8,935,22,"50,000+",Free,0,Teen,Entertainment,26-Mar-18,6.4.1,4.3 and up
iSmart DV,VIDEO_PLAYERS,3.6,5692,31,"1,000,000+",Free,0,Everyone,Video Players & Editors,27-Jul-18,R1.4.14.B1.4,4.1 and up
Call Blocker & Blacklist,COMMUNICATION,4,6,4.2,"1,000+",Free,0,Everyone,Communication,13-Jul-18,3.1.0,4.0 and up
AJ AUTO,AUTO_AND_VEHICLES,NaN,0,7.7,10+,Free,0,Everyone,Auto & Vehicles,27-Feb-17,1.0.0,4.0.3 and up
PDF Reader – PDF Editor 2018,TOOLS,4.1,1648,36,"500,000+",Free,0,Everyone,Tools,31-Jul-18,9.5.8,4.1 and up
C B Patel Health Club,HEALTH_AND_FITNESS,5,5,14,100+,Free,0,Everyone,Health & Fitness,2-Jul-18,1.0.1,4.4 and up
Travis CU,FINANCE,2,207,2.9,"10,000+",Free,0,Everyone,Finance,16-Feb-18,1.0.0.9,4.4 and up
Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,"50,000+",Free,0,Everyone,Art & Design,26-Mar-17,1,2.3 and up
Kingdoms at War: Hardcore PVP,FAMILY,4.3,34898,92,"1,000,000+",Free,0,Teen,Strategy,28-Jun-18,4.05,4.0.3 and up
Jodel - The Hyperlocal App,SOCIAL,4.5,76480,20,"1,000,000+",Free,0,Mature 17+,Social,6-Aug-18,4.95.4,5.0 and up
T. Rowe Price Personal® App,FINANCE,4.5,1057,4.5,"50,000+",Free,0,Everyone,Finance,6-Jul-18,1.7,6.0 and up
C3-C4-PİCASSO-ELYSEE RACİNG,GAME,NaN,12,48,"1,000+",Free,0,Everyone,Arcade,12-Feb-17,"1,01",4.0 and up
Ant Smasher by Best Cool & Fun Games,GAME,4.2,1185148,29,"100,000,000+",Free,0,Everyone,Arcade,1-Aug-18,9.55,4.0.3 and up
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19,"1,000,000+",Free,0,Everyone,Health & Fitness,16-Jul-18,6.5.1,5.0 and up
Flickr,PHOTOGRAPHY,4.3,251951,16,"10,000,000+",Free,0,Mature 17+,Photography,11-Jul-18,4.7.3,4.4 and up
FREE CHATS C.L.,COMMUNICATION,NaN,4,3.4,10+,Paid,$0.99,Mature 17+,Communication,12-Feb-18,11,4.0.3 and up
Ae Allah na Dai (Rasa),BOOKS_AND_REFERENCE,4.7,263,9.1,"10,000+",Free,0,Everyone,Books & Reference,1-Jan-15,2,2.1 and up
Square DP For Whatsapp,PHOTOGRAPHY,4.2,67,15,"10,000+",Free,0,Everyone,Photography,29-Mar-17,1,4.0.3 and up
Home Workout for Men - Bodybuilding,HEALTH_AND_FITNESS,4.8,12705,15,"1,000,000+",Free,0,Everyone,Health & Fitness,10-Jul-18,1.0.2,4.0 and up
Extreme- Personal Voice Assistant,PRODUCTIVITY,4.4,25627,9.8,"1,000,000+",Free,0,Everyone,Productivity,5-Aug-18,132,5.0 and up
Fort Myers FL,PRODUCTIVITY,NaN,0,22,100+,Free,0,Everyone,Productivity,17-Sep-15,2.4.0,4.1 and up
EP Calipers,MEDICAL,NaN,4,15,100+,Paid,$0.99,Everyone,Medical,10-Feb-18,2.12,4.0 and up
English Audio Books - Librivox,FAMILY,4,10773,10,"1,000,000+",Free,0,Everyone,Education,29-Nov-17,8.02,4.1 and up
LEGO® Juniors Create & Cruise,FAMILY,4.1,673203,73,"50,000,000+",Free,0,Everyone,Educational;Action & Adventure,19-Jan-18,6.7.5222,4.1 and up
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8,"100,000+",Free,0,Everyone,Lifestyle,27-Sep-16,2,4.3 and up
homegate.ch,HOUSE_AND_HOME,4.2,2543,4.6,"100,000+",Free,0,Everyone,House & Home,27-Jul-18,8.4.2,5.0 and up
Fidget Spinner,GAME,4.2,307398,9.9,"10,000,000+",Free,0,Everyone,Arcade,30-Nov-17,1.12.5.1,2.1 and up
CI Attendance,PRODUCTIVITY,NaN,0,0.172,5+,Paid,$0.99,Everyone,Productivity,17-Aug-13,1.0.0,3.1 and up
Clash of Clans,FAMILY,4.6,44881447,98,"100,000,000+",Free,0,Everyone 10+,Strategy,15-Jul-18,10.322.16,4.1 and up
My Little Pony Celebration,FAMILY,4.3,63160,17,"1,000,000+",Free,0,Everyone,Simulation;Pretend Play,22-Jul-16,1.0.0,2.3 and up
DN Prasad,FINANCE,NaN,0,5.9,100+,Free,0,Everyone,Finance,30-Apr-18,1.1.2,4.0.3 and up
PayPal,FINANCE,4.3,659760,47,"50,000,000+",Free,0,Everyone,Finance,18-Jul-18,6.28.0,4.4 and up
AQ wisdom +,TOOLS,NaN,0,35,100+,Free,0,Everyone,Tools,15-Mar-18,1.0.0,4.0.3 and up
BC Lotto Check,FAMILY,3,10,0.717,"5,000+",Free,0,Everyone,Entertainment,22-Jun-16,0.0.7,4.0.3 and up
Bu Hangi Ünlü?,GAME,NaN,1,19,10+,Free,0,Everyone,Trivia,9-Jun-18,3.3.7z,4.0.3 and up
F & M Mobile Banking,FINANCE,4,43,13,"5,000+",Free,0,Everyone,Finance,20-Feb-18,4.5.0,4.0 and up
"Avast Cleanup & Boost, Phone Cleaner, Optimizer",TOOLS,4.5,648380,24,"10,000,000+",Free,0,Everyone,Tools,1-Aug-18,4.6.4,4.1 and up
"EMI, FD, RD - Bank Calculator",FINANCE,4.7,42,3.5,"5,000+",Free,0,Everyone,Finance,2-Apr-17,2.3,4.1 and up
Powershop AU,TOOLS,4,498,11,"10,000+",Free,0,Everyone,Tools,12-Jul-18,1.35.1,4.0.3 and up
EO LAC,LIFESTYLE,NaN,0,18,10+,Free,0,Everyone,Lifestyle,17-Jan-17,1.1,4.1 and up
Lazionews.eu,NEWS_AND_MAGAZINES,NaN,25,18,"1,000+",Free,0,Everyone,News & Magazines,18-May-18,1.0.1,4.0 and up
BW-GnuGo,GAME,4.1,64,1.3,"5,000+",Free,0,Everyone,Board,2-Jun-13,2.0.0,2.2 and up
AC Remote for Sharp - NOW FREE,TOOLS,3.7,332,26,"50,000+",Free,0,Everyone,Tools,30-Jul-18,6.1.7,4.2 and up
Helix Jump,GAME,4.2,1499373,33,"100,000,000+",Free,0,Everyone,Action,9-Apr-18,1.0.6,4.1 and up
哈哈姆特不EY,COMMUNICATION,NaN,239,18,"10,000+",Free,0,Everyone,Communication,31-Jul-18,1.3.4,4.4 and up
BaBe - Read News,NEWS_AND_MAGAZINES,4.3,355921,17,"10,000,000+",Free,0,Teen,News & Magazines,1-Aug-18,9.1.4,4.0 and up
"Learn Japanese, Korean, Chinese Offline & Free",EDUCATION,4.9,133136,26,"1,000,000+",Free,0,Everyone,Education;Education,20-Jul-18,2.16.11.10,4.2 and up
Mini for Facebook lite,SOCIAL,4.1,260,1.3,"10,000+",Free,0,Teen,Social,21-Jun-18,1.2,3.0 and up
CV Samples 2018,BUSINESS,4.3,34,26,"10,000+",Free,0,Everyone,Business,10-Oct-17,1,4.0.3 and up
Talking Tom Gold Run,GAME,4.6,2698348,78,"100,000,000+",Free,0,Everyone,Action,31-Jul-18,2.8.2.59,4.1 and up
BJ - Confidential,COMMUNICATION,NaN,0,3.2,10+,Free,0,Teen,Communication,23-Apr-18,1.7,4.1 and up
Formula DRIFT,SPORTS,4.6,169,19,"10,000+",Free,0,Everyone,Sports,27-Jul-18,2.0.855.33,4.0.3 and up
QR Code Pro,PRODUCTIVITY,4.8,5865,15,"100,000+",Paid,$4.49,Everyone,Productivity,18-Jul-18,1,4.1 and up
Angry Birds Epic RPG,FAMILY,4.5,2634605,63,"10,000,000+",Free,0,Everyone,Role Playing,18-Jul-18,3.0.27430.4799,4.4 and up
Málaga CF Wallpapers 4 Fans,LIFESTYLE,NaN,2,3.1,10+,Free,0,Everyone,Lifestyle,22-May-18,1,4.0 and up
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17712922,40,"500,000,000+",Free,0,Teen,Communication,2-Aug-18,12.8.5.1121,4.0 and up
Google News,NEWS_AND_MAGAZINES,3.9,877643,13,"1,000,000,000+",Free,0,Teen,News & Magazines,1-Aug-18,5.2.0,4.4 and up
tökr,MEDICAL,4.6,17,14,"1,000+",Free,0,Everyone,Medical,11-Jul-18,1.9.0.0,4.1 and up
Q,FAMILY,4.2,69126,60,"1,000,000+",Free,0,Everyone,Puzzle,19-Apr-18,2.9.4,4.0 and up
FK Viktoria Žižkov,SPORTS,NaN,0,26,10+,Free,0,Everyone,Sports,27-Feb-18,1,4.1 and up
FINAL FANTASY BRAVE EXVIUS,GAME,4.6,745684,83,"5,000,000+",Free,0,Teen,Role Playing,17-Jul-18,3.0.2,4.0.3 and up
CreditWise from Capital One,FINANCE,4.6,26587,8.4,"1,000,000+",Free,0,Everyone,Finance,19-Jul-18,1.18.0,4.4 and up
Jungle Marble Blast,GAME,4.3,18985,23,"5,000,000+",Free,0,Everyone,Casual,23-Jul-18,1.5.4,4.0.3 and up
CP-Care Mobile,FAMILY,NaN,1,16,10+,Free,0,Everyone,Education,20-Jun-18,1,4.0 and up
Sandbox Art-Sandbox Color by Number Coloring Pages,FAMILY,4.7,12784,15,"1,000,000+",Free,0,Everyone,Entertainment,4-Aug-18,1.3.3,4.1 and up
EO Network,BUSINESS,3.5,13,21,"1,000+",Free,0,Teen,Business,20-Sep-17,1.0.3,4.4 and up
Clash of Kings : The King Of Fighters version,FAMILY,4.2,2233681,97,"50,000,000+",Free,0,Teen,Strategy,1-Aug-18,3.44.0,2.3.3 and up
Map of Cyprus offline,TRAVEL_AND_LOCAL,4.6,470,21,"10,000+",Free,0,Everyone,Travel & Local,12-Mar-18,3.9,2.3 and up
Remote for Samsung TV & BluRay Players (Read Desc),TOOLS,3.3,1988,7.3,"500,000+",Free,0,Everyone,Tools,3-Aug-18,Cow V3.15,4.3 and up
FP Markets,FINANCE,NaN,1,2,100+,Free,0,Everyone,Finance,30-Jan-18,1.0.0.0,4.3 and up
DV Statistics,SOCIAL,4.2,6,2.7,100+,Free,0,Everyone,Social,8-Oct-15,1.2,4.0.3 and up
DN Radio FM,NEWS_AND_MAGAZINES,NaN,0,3.8,10+,Free,0,Teen,News & Magazines,15-Jul-16,1.1,2.3 and up
Rope Hero: Vice Town,GAME,4.4,452589,99,"10,000,000+",Free,0,Mature 17+,Action,1-Jul-18,2.2,4.0 and up
ChatBolo - AI Chatbot Online,FAMILY,3.3,1407,1.4,"100,000+",Free,0,Everyone,Entertainment,25-Sep-15,2.1,2.2 and up
hum app,MAPS_AND_NAVIGATION,4.4,10218,78,"1,000,000+",Free,0,Everyone,Maps & Navigation,31-Jul-18,5.072.1830.2,4.2 and up
AC Troubleshooter,TOOLS,4.7,147,4.2,"10,000+",Free,0,Everyone,Tools,8-Jan-15,1.3,3.0 and up
Filters for Selfie,BEAUTY,4.3,8572,25,"1,000,000+",Free,0,Everyone,Beauty,10-May-18,1.1.0,4.0 and up
Kids Balloon Pop Game Free 🎈,FAMILY,4.1,38021,19,"10,000,000+",Free,0,Everyone,Casual;Music & Video,6-Jul-18,18.2,4.0.3 and up
TETRIS Blitz,FAMILY,4.4,201631,96,"5,000,000+",Free,0,Everyone,Puzzle,1-Jun-18,4.4.4,4.1 and up
SnipSnap Coupon App,SHOPPING,4.2,9975,18,"1,000,000+",Free,0,Everyone,Shopping,22-Jan-18,1.4,4.3 and up
"LALALAB prints your photos, photobooks and magnets",PHOTOGRAPHY,4.7,50424,82,"1,000,000+",Free,0,Everyone,Photography,2-Aug-18,584,4.1 and up
Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,4,35928,19,"1,000,000+",Free,0,Teen,Entertainment,16-Jul-18,3.1.4,4.4 and up
HD Camera Ultra,PHOTOGRAPHY,4.3,462152,1.5,"10,000,000+",Free,0,Everyone,Photography,17-Oct-15,2.3.1,Varies with device
CX-42,FAMILY,NaN,0,32,10+,Free,0,Everyone,Casual,2-Jan-18,1.2_3,4.2 and up
Tamilnadu EB Online Payment,FINANCE,3.7,155,3.9,"100,000+",Free,0,Everyone,Finance,30-Jul-18,1.0.0,4.0.3 and up
AX Window,TOOLS,NaN,0,19,5+,Free,0,Everyone,Tools,10-Oct-17,1.0.2,4.3 and up
VMate,VIDEO_PLAYERS,4.2,192677,17,"50,000,000+",Free,0,Teen,Video Players & Editors,3-Aug-18,1.78,4.0.3 and up
GoPro (formerly Capture),PHOTOGRAPHY,4,157506,47,"10,000,000+",Free,0,Everyone,Photography,24-May-18,4.5.2,5.0 and up
Tracks,HEALTH_AND_FITNESS,4.6,623,40,"50,000+",Free,0,Everyone 10+,Health & Fitness,17-Jul-17,1.2.3,4.0.3 and up
BTS V LINE Launcher theme,PERSONALIZATION,4.8,3283,3.6,"100,000+",Free,0,Everyone,Personalization,17-Oct-14,4.1,4.0.3 and up
BN Pro Roboto-b Neon HD Text,LIBRARIES_AND_DEMO,4.4,30,0.721,"5,000+",Free,0,Everyone,Libraries & Demo,5-Feb-17,2.3.2,1.6 and up
Every disease has a drug without internet,MEDICAL,NaN,44,4,"10,000+",Free,0,Everyone,Medical,24-Apr-18,1,4.1 and up
Watch Face Swiss AJ-6,PERSONALIZATION,4.1,21,3.6,100+,Paid,$0.99,Everyone,Personalization,20-Sep-17,1.35,4.3 and up
Blood Pressure,MEDICAL,NaN,10,2.4,"1,000+",Free,0,Everyone,Medical,14-Mar-15,1,2.3 and up
Ay Yıldız Duvar Kağıtları,PERSONALIZATION,NaN,3,6.5,100+,Free,0,Everyone,Personalization,10-Dec-17,1.0.0,4.3 and up
"Messenger L SMS, MMS",PERSONALIZATION,4,6263,20,"500,000+",Free,0,Everyone,Personalization,12-Jul-18,7.46,2.3 and up
Villarreal CF Wallpapers 4 Fans,LIFESTYLE,NaN,2,3.2,50+,Free,0,Everyone,Lifestyle,22-May-18,1,4.0 and up
R Programming,FAMILY,NaN,2,5.9,"1,000+",Free,0,Everyone,Education,21-Nov-17,1,4.0.3 and up
Dialer theme Droid L,PERSONALIZATION,4.3,1734,2.8,"100,000+",Free,0,Mature 17+,Personalization,2-Apr-16,4,4.0.3 and up
Board Game Stats: Play tracking for tabletop games,LIFESTYLE,4.6,275,3.9,"5,000+",Paid,$2.99,Everyone,Lifestyle,17-Jul-18,2.8.3,4.1 and up
Šmelina .cz inzeráty inzerce,SHOPPING,3.9,117,9.8,"10,000+",Free,0,Everyone,Shopping,13-May-18,1.3,4.0 and up
PatientPORTAL by InteliChart,MEDICAL,NaN,1,32,500+,Free,0,Everyone,Medical,24-May-18,1.0.1,5.0 and up
AC Remote Control Simulator,FAMILY,3.3,353,2.3,"100,000+",Free,0,Everyone,Entertainment,4-Dec-17,1,4.0.3 and up
Southwest Airlines,TRAVEL_AND_LOCAL,3.9,24781,8.3,"5,000,000+",Free,0,Everyone,Travel & Local,11-Jul-18,5.6.1,6.0 and up
Animal Hunting: Sniper Shooting,GAME,NaN,0,48,50+,Free,0,Teen,Action,6-Jul-18,1,4.0 and up
Whoowasit? - Best kids game!,FAMILY,4,248,26,"5,000+",Paid,$2.99,Everyone,Board;Action & Adventure,24-Jul-18,1.6,4.1 and up
EG Retail,BUSINESS,2.4,29,16,500+,Free,0,Everyone,Business,5-Jul-18,2.2.1335,4.1 and up
Glam Doll Salon - Chic Fashion,FAMILY,4,93898,44,"10,000,000+",Free,0,Everyone,Casual,26-May-17,1.1,4.1 and up
C J Academy,FAMILY,NaN,0,5.2,10+,Free,0,Everyone,Education,2-Apr-18,1,4.4 and up
BX Thailand - Crypto Tracking & Analyse Bitcoin,FINANCE,NaN,2,34,100+,Free,0,Everyone,Finance,10-Mar-18,1.7,4.0.3 and up
Gun Shoot War Q,GAME,4.2,26893,20,"1,000,000+",Free,0,Teen,Arcade,1-Mar-17,1.0.5,2.3 and up
GF - BF Chat Stories - Hindi English Convesation,FAMILY,4.1,32,4.1,"10,000+",Free,0,Everyone,Education,18-Jun-18,1.5,4.1 and up
Egg,FAMILY,2.9,72,27,"5,000+",Free,0,Mature 17+,Simulation,9-Jun-18,1.2.2,2.3 and up
bp e-store,BOOKS_AND_REFERENCE,4.4,52,2.2,"1,000+",Free,0,Everyone,Books & Reference,15-Jan-16,2.0.7,4.0 and up
Siyaha Dz,TRAVEL_AND_LOCAL,4.5,289,9.8,"10,000+",Free,0,Everyone,Travel & Local,13-Mar-18,2.6.3,4.2 and up
GPS Speedometer - Trip Meter - Altimeter,MAPS_AND_NAVIGATION,4.3,32225,3.2,"1,000,000+",Free,0,Everyone,Maps & Navigation,26-Jul-18,2.0.0,4.2 and up
CS Customizer,COMMUNICATION,3.7,25,3.7,"1,000+",Free,0,Everyone,Communication,6-Feb-17,1.2.11,3.0 and up
Gormey: Find Best Restaurants,TRAVEL_AND_LOCAL,4.3,34,7.6,"1,000+",Free,0,Everyone,Travel & Local,29-Aug-17,2.3,4.0.3 and up
COMSATS BOOK STORE FOR BS(CS),FAMILY,5,15,94,50+,Free,0,Everyone,Education,11-Jul-18,2,4.0.3 and up
FP Разбитый дисплей,FAMILY,4.5,922,0.552,"50,000+",Free,0,Everyone,Entertainment,20-Sep-14,1.1,1.6 and up
Where is my Train : Indian Railway & PNR Status,TRAVEL_AND_LOCAL,4.7,620534,9.8,"10,000,000+",Free,0,Everyone,Travel & Local,30-Jul-18,5.7.3,4.0.3 and up
BL Carrier,BUSINESS,NaN,0,11,10+,Free,0,Everyone,Business,27-Jul-18,5,4.0.3 and up
ES Holo Theme,TOOLS,4.3,11449,1.7,"500,000+",Free,0,Everyone,Tools,2-Feb-16,2.0.4,2.0 and up
EP FCU,FINANCE,NaN,2,2.8,100+,Free,0,Everyone,Finance,22-Mar-18,3.0.6,4.1 and up
Calculator ++,TOOLS,4.6,33509,3.6,"1,000,000+",Free,0,Everyone,Tools,12-May-18,2.2.7,4.4 and up
Oral-B App,HEALTH_AND_FITNESS,3.3,14210,96,"1,000,000+",Free,0,Everyone,Health & Fitness,19-Jul-18,6.0.1,5.0 and up
